event_id,threshold,entry_date,triggered,low_date,days_from_low,entry_drawdown,low_drawdown,fwd_21d,fwd_63d
11,16,2022-06-01T00:00:00,True,2022-11-03T00:00:00,-155.0,-0.24066027067194484,-0.35118714912770055,-0.07623426287445234,-0.02011376561015954
12,16,,False,2023-08-18T00:00:00,,,-0.07157651690455447,,
13,16,,False,2023-10-26T00:00:00,,,-0.10779945251606837,,
14,16,,False,2024-04-19T00:00:00,,,-0.07108293455329961,,
15,16,,False,2024-08-07T00:00:00,,,-0.13557739553521508,,
16,16,,False,2025-04-08T00:00:00,,,-0.22768317249200065,,
17,16,,False,2025-11-20T00:00:00,,,-0.07880207882684143,,
18,16,,False,2026-03-30T00:00:00,,,-0.11964363794311839,,
19,16,,False,2026-06-10T00:00:00,,,-0.07031997684181479,,
1,17,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,17,,False,2018-04-02T00:00:00,,,-0.10522597980872284,,
3,17,,False,2018-12-24T00:00:00,,,-0.22796623824208295,,
4,17,,False,2019-06-03T00:00:00,,,-0.1098320321251457,,
5,17,,False,2019-08-05T00:00:00,,,-0.0745557450174823,,
6,17,,False,2020-03-16T00:00:00,,,-0.2855936425707133,,
7,17,,False,2020-09-23T00:00:00,,,-0.12749406591375545,,
8,17,,False,2021-03-08T00:00:00,,,-0.10851519618796535,,
9,17,,False,2021-05-12T00:00:00,,,-0.0734481816853787,,
10,17,,False,2021-10-04T00:00:00,,,-0.07615393977967622,,
11,17,2023-01-13T00:00:00,True,2022-11-03T00:00:00,71.0,-0.25517575573459295,-0.35118714912770055,0.09175366989630995,0.13653967176586623
12,17,,False,2023-08-18T00:00:00,,,-0.07157651690455447,,
13,17,,False,2023-10-26T00:00:00,,,-0.10779945251606837,,
14,17,,False,2024-04-19T00:00:00,,,-0.07108293455329961,,
15,17,,False,2024-08-07T00:00:00,,,-0.13557739553521508,,
16,17,,False,2025-04-08T00:00:00,,,-0.22768317249200065,,
17,17,,False,2025-11-20T00:00:00,,,-0.07880207882684143,,
18,17,,False,2026-03-30T00:00:00,,,-0.11964363794311839,,
19,17,,False,2026-06-10T00:00:00,,,-0.07031997684181479,,
